Time (h),Temperature1 (degC), Temperature2 (degC), Temperature3 (degC), Temperature4 (degC), Temperature5 (degC), Temperature6 (degC), Temperature7 (degC), Temperature8 (degC), Temperature9 (degC), Temperature10 (degC), Temperature11 (degC), Temperature12 (degC), Temperature13 (degC), 
1199,22.025045942013435,22.69729780999785,24.613439157080222,24.088542499035157,24.66958092004853,24.321894861407998,22.239237996069562,21.803791536982658,24.608920470883163,25.496897157101046,25.571895989941993,26.304716663429417,22.77636390719067,22.861871297981793
1200,22.028485302273793,22.700894413903313,24.61676871174683,24.09220669634658,24.673076706852953,24.325527566170138,22.2432978363409,21.80741920200728,24.60990595490199,25.500403467244382,25.57535298375143,26.30818713492181,22.78015567601551,22.865563923010427
1201,22.03192466253421,22.704491017808834,24.620098266413436,24.095870893657946,24.67657249365726,24.32916027093222,22.247357676612296,21.811046867031905,24.610891438920873,25.503909777387776,25.578809977560866,26.3116576064142,22.783947444840294,22.86925654803906
1202,22.035364022794568,22.7080876217143,24.623427821080043,24.09953509096937,24.680068280461626,24.33279297569436,22.251417516883578,21.814674532056472,24.6118769229397,25.507416087531112,25.582266971370302,26.315128077906593,22.787739213665134,22.87294917306764
1203,22.038803383054926,22.711684225619706,24.626757375746706,24.103199288280734,24.683564067265934,24.3364256804565,22.255477357154973,21.818302197081096,24.612862406958527,25.510922397674506,25.585723965179795,26.318598549398928,22.791530982489917,22.876641798096273
1204,22.042242743315285,22.715280829525227,24.63008693041337,24.106863485592157,24.68705985407024,24.340058385218583,22.25953719742631,21.821929862105662,24.613847890977354,25.514428707817842,25.589180958989232,26.32206902089132,22.7953227513147,22.88033442312485
1205,22.0456821035757,22.71887743343069,24.633416485079977,24.11052768290358,24.690555640874607,24.343691089980723,22.263597037697707,21.825557527130343,24.61483337499618,25.517935017961236,25.59263795279867,26.32553949238371,22.799114520139483,22.884027048153484
1206,22.04912146383606,22.722474037336156,24.636746039746583,24.114191880214946,24.69405142767897,24.347323794742863,22.267656877969046,21.82918519215491,24.615818859015064,25.521441328104572,25.596094946608105,26.329009963876047,22.802906288964323,22.887719673182062
1207,22.052560824096417,22.72607064124162,24.64007559441319,24.11785607752637,24.697547214483336,24.350956499505003,22.271716718240384,21.832812857179533,24.61680434303389,25.524947638247966,25.59955194041754,26.33248043536844,22.806698057789163,22.891412298210696
1208,22.056000184356833,22.729667245147084,24.643405149079854,24.121520274837735,24.701043001287644,24.354589204267086,22.27577655851178,21.8364405222041,24.617789827052718,25.528453948391302,25.603008934226978,26.335950906860887,22.810489826613946,22.89510492323933
1209,22.05943954461719,22.73326384905255,24.64673470374646,24.125184472149158,24.704538788091952,24.358221909029226,22.279836398783118,21.84006818722878,24.618775311071545,25.531960258534696,25.606465928036414,26.339421378353222,22.81428159543873,22.898797548267964
1210,22.06287890487755,22.736860452958013,24.650064258413067,24.128848669460524,24.708034574896317,24.361854613791365,22.283896239054513,21.843695852253347,24.61976079509043,25.535466568678032,25.60992292184585,26.342891849845614,22.818073364263512,22.902490173296542
1211,22.06631826513791,22.740457056863534,24.65339381307973,24.132512866771947,24.71153036170068,24.365487318553505,22.287956079325852,21.84732351727797,24.620746279109255,25.538972878821426,25.613379915655287,26.346362321338006,22.82186513308835,22.90618279832512
1212,22.069757625398324,22.744053660768998,24.656723367746338,24.13617706408337,24.71502614850499,24.36912002331559,22.292015919597247,21.850951182302595,24.621731763128082,25.542479188964762,25.616836909464723,26.34983279283034,22.82565690191319,22.909875423353753
1213,22.073196985658683,22.747650264674405,24.660052922413,24.139841261394736,24.718521935309354,24.372752728077728,22.296075759868586,21.85457884732722,24.62271724714691,25.5459854991081,25.620293903274217,26.353303264322733,22.829448670737975,22.913568048382388
1214,22.07663634591904,22.751246868579926,24.663382477079608,24.14350545870616,24.722017722113662,24.376385432839868,22.300135600139924,21.858206512351785,24.623702731165736,25.549491809251492,25.623750897083653,26.356773735815125,22.833240439562758,22.917260673410965
1215,22.080075706179457,22.75484347248539,24.666712031746215,24.147169656017525,24.725513508918027,24.380018137602008,22.304195440411263,21.86183417737641,24.62468821518462,25.55299811939483,25.62720789089309,26.360244207307517,22.837032208387598,22.9209532984396
1216,22.083515066439816,22.758440076390855,24.67004158641282,24.150833853328947,24.729009295722335,24.38365084236409,22.30825528068266,21.865461842401032,24.625673699203446,25.556504429538165,25.630664884702526,26.36371467879985,22.84082397721238,22.924645923468177
1217,22.086954426700174,22.76203668029632,24.673371141079485,24.154498050640314,24.7325050825267,24.38728354712623,22.312315120953997,21.869089507425656,24.626659183222273,25.56001073968156,25.634121878511962,26.367185150292244,22.84461574603722,22.92833854849681
